,F1,HD,TP,F1,HD,TP,F1,HD,TP
PC,0.270(0.070),50.5(3.9),9.4(2.7),0.398(0.115),46.3(8.8),15.3(4.5),0.540(0.049),36.5(3.4),21.5(2.2)
GS,0.057(0.039),59.6(2.5),1.8(1.2),0.078(0.022),59.7(2.9),2.5(0.7),0.154(0.039),57.2(2.4),5.2(1.3)
IMBA,0.334(0.084),48.5(5.9),12.2(3.1),0.338(0.077),49.9(6.2),12.7(2.8),0.409(0.081),45.7(5.8),15.9(3.4)
HC,0.564(0.081),43.8(9.3),28.1(3.6),0.592(0.061),40.4(6.8),29.2(2.6),0.615(0.063),38.5(7.1),30.6(2.6)
MMHC,0.568(0.045),31.6(2.9),20.8(2.0),0.633(0.024),27.8(1.7),24.0(1.1),0.668(0.027),26.2(2.2),26.4(1.1)
TS,0.555(0.043),45.7(5.4),28.4(2.0),0.627(0.068),37.0(6.7),31.2(3.7),0.676(0.042),31.8(4.4),33.2(1.9)
DiG-SiRGA,0.653(0.054),36.7(3.4),25.7(2.0),0.683(0.034),32.2(2.2),28.4(1.2),0.690(0.064),34.5(2.5),30.0(1.4)
ESL-GA,0.675(0.035),35.0(2.4),29.5(0.9),0.680(0.021),27.2(1.5),29.5(0.8),0.688(0.033),23.2(1.3),32.4(0.9)
EFBNSL,0.787(0.066),19.0(6.0),35.0(2.8),0.839(0.017),14.5(1.5),37.9(0.9),0.851(0.021),13.6(2.0),38.8(1.0)
